payment_method_id,card_number,type,is_default,is_active,expiration_year,expiration_month,customer_id
45659e93,4664-3877-3034-4224,Debit,TRUE,FALSE,2029,1,538d5c22
17d366d4,4276-4443-6681-7456,Debit,TRUE,FALSE,2025,3,978ae4e2
5229fbd5,4869-9837-3577-7994,Debit,FALSE,FALSE,2029,2,f45f3337
a0ab8c67,4145-2073-3247-5575,Debit,TRUE,FALSE,2025,4,accd5152
0fe494d6,4684-3441-9733-3942,Debit,FALSE,TRUE,2030,2,1798a390
3fa71bd6,4687-9263-6659-3996,Debit,TRUE,FALSE,2024,3,35607098
6b3dae59,4909-6114-6915-4142,Debit,FALSE,FALSE,2027,5,b98297f5
05f9a3ae,4408-9349-2094-6474,Debit,FALSE,FALSE,2030,4,ca38bfb1
970d0d15,4180-8189-3264-4733,Credit,FALSE,TRUE,2025,8,76014890
a112ff98,4286-9372-2508-5841,Debit,FALSE,TRUE,2025,5,4bc16bde
f3b0f5c1,4087-7286-2777-2076,Debit,TRUE,FALSE,2027,12,f28f11b4
2fe97b22,4768-1100-9377-5303,Debit,FALSE,TRUE,2024,7,18fa61dc
e8ae0a13,4638-6068-6318-5811,Credit,FALSE,FALSE,2024,9,7e478d1d
e22e9e0f,4709-5702-1329-7377,Credit,TRUE,FALSE,2028,7,3ce8209a
4db244dc,4982-8943-7890-9693,Credit,FALSE,TRUE,2030,1,ad949fdd
5357ebd0,4404-2267-2412-6377,Debit,FALSE,TRUE,2026,9,7e83d6ab
474f791a,4669-4393-4338-5020,Debit,FALSE,TRUE,2028,11,ea6a4645
ef88a5c6,4148-6237-5193-2804,Credit,TRUE,FALSE,2025,5,20f5ab89
07903294,4948-1004-3690-7605,Credit,TRUE,TRUE,2030,10,5ed33ac4
8f45c3f0,4997-1798-2303-5878,Debit,FALSE,TRUE,2027,6,57d54d7c
25ec24b5,4505-6739-7127-9387,Debit,FALSE,FALSE,2026,1,0d0b5b80
02bdb1e0,4096-6868-3493-2690,Debit,FALSE,FALSE,2024,12,6c2a2dc7
5cdd23ee,4093-1149-6492-2281,Credit,TRUE,FALSE,2029,9,bdf0182b
d7a642c2,4184-6361-1638-1503,Credit,FALSE,TRUE,2026,4,dc6fd3e4
e87eee5e,4164-4515-5894-8380,Credit,TRUE,FALSE,2024,9,d15803f8
53d191a4,4995-3251-7956-1264,Debit,FALSE,FALSE,2029,1,300cf607
6f30d5b4,4514-1909-1986-4872,Debit,TRUE,TRUE,2027,11,1ea4512c
cabcc57c,4417-4017-1222-8779,Credit,FALSE,FALSE,2028,5,49adf30d
c5fb35bb,4332-2092-6094-5415,Debit,TRUE,FALSE,2024,7,26af96d4
a17b9630,4259-6048-2084-3611,Debit,TRUE,TRUE,2025,12,2848c286
ecf8dd84,4291-4075-7403-5739,Credit,TRUE,FALSE,2028,2,b6105b78
0eb7fb2d,4997-3645-6585-4068,Debit,FALSE,FALSE,2029,6,700eb294
4740dab3,4270-7533-9659-6809,Credit,TRUE,TRUE,2024,4,2bd1c576
8e12b7fc,4531-3624-8829-2280,Credit,TRUE,TRUE,2027,11,f3e221f3
92194dd7,4867-9947-6026-2989,Credit,TRUE,TRUE,2029,10,53eb9d55
88cf653a,4606-7745-5106-2851,Debit,TRUE,FALSE,2029,8,a9cb1ff4
3cffffde,4101-7688-9690-7985,Credit,FALSE,FALSE,2028,11,d10f07e5
95d33fd0,4902-4381-6423-5466,Credit,TRUE,FALSE,2025,2,be4f95c6
f5e33049,4305-8854-6732-3238,Credit,TRUE,TRUE,2028,1,98ba0d48
a920441b,4842-1195-5547-7370,Credit,FALSE,TRUE,2028,10,3183b1bc
11a09028,4152-8786-5654-2593,Debit,TRUE,FALSE,2025,9,53a705c9
c9491e3d,4698-2650-5309-1922,Debit,TRUE,TRUE,2028,8,ea90fa69
b4608632,4036-3109-8030-2206,Credit,TRUE,FALSE,2024,5,7a0caf08
87b087a5,4094-6827-4908-7503,Credit,FALSE,TRUE,2026,11,ba25b87f
52e3c2a3,4451-4184-7962-4785,Credit,TRUE,TRUE,2027,9,6b167a5f
970c1322,4921-4937-3124-4492,Credit,TRUE,TRUE,2028,9,f1a17d3c
e7c22717,4979-4615-1749-3214,Debit,TRUE,TRUE,2029,3,b6733a05
8fa4fae2,4789-7083-8470-9205,Credit,FALSE,FALSE,2024,3,3ea3cdc9
5d59433e,4125-7817-5745-7603,Debit,FALSE,TRUE,2028,7,a168bd29
